2025-01-31 11:12:22,870 - INFO - Starting Telegram client...
2025-01-31 11:12:22,870 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-31 11:12:25,208 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-31 11:12:26,931 - INFO - Phone migrated to 4
2025-01-31 11:12:27,424 - INFO - Reconnecting to new data center 4
2025-01-31 11:12:27,941 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-31 11:12:27,941 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-31 11:12:27,956 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-01-31 11:12:30,646 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-01-31 11:15:38,755 - INFO - Telegram client started successfully.
2025-01-31 11:15:38,755 - INFO - Scraping channel: DoctorsET
2025-01-31 11:19:42,854 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:43,493 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:44,448 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:45,473 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:46,764 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:47,667 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:48,538 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:49,247 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:50,209 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:51,094 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:51,807 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:52,716 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:53,637 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:54,802 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:55,776 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:56,920 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:57,036 - INFO - File lives in another DC
2025-01-31 11:19:57,036 - INFO - Connecting to 149.154.175.58:443/TcpFull...
2025-01-31 11:19:59,657 - INFO - Connection to 149.154.175.58:443/TcpFull complete!
2025-01-31 11:19:59,657 - INFO - Exporting auth for new borrowed sender in DcOption(id=1, ip_address='149.154.175.58', port=443, ipv6=False, media_only=False, tcpo_only=False, cdn=False, static=False, this_port_only=False, secret=None)
2025-01-31 11:20:02,731 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:03,040 - INFO - File lives in another DC
2025-01-31 11:20:04,462 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:04,596 - INFO - File lives in another DC
2025-01-31 11:20:05,453 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:05,575 - INFO - File lives in another DC
2025-01-31 11:20:06,504 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:06,631 - INFO - File lives in another DC
2025-01-31 11:20:07,513 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:07,632 - INFO - File lives in another DC
2025-01-31 11:20:08,883 - INFO - Completed scraping channel: yetenaweg - Total messages: 100
2025-01-31 11:20:08,883 - INFO - Scraping channel: EAHCI
2025-01-31 11:20:09,697 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:11,089 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:12,899 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:14,817 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:16,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:17,929 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:19,745 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:21,433 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:23,221 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:24,829 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:26,369 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:28,149 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:29,837 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:31,637 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:33,518 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:35,417 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:36,190 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:38,830 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:41,081 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:43,184 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:20:44,634 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
